budget,homepage,id,original_language,original_title,popularity,release_date,revenue,runtime,status,title,vote_average,vote_count
237000000,http://www.avatarmovie.com/,19995,en,Avatar,150.437577,12/10/09,2787965087,162,Released,Avatar,7.2,11800
300000000,http://disney.go.com/disneypictures/pirates/,285,en,Pirates of the Caribbean: At World's End,139.082615,5/19/07,961000000,169,Released,Pirates of the Caribbean: At World's End,6.9,4500
245000000,http://www.sonypictures.com/movies/spectre/,206647,en,Spectre,107.376788,10/26/15,880674609,148,Released,Spectre,6.3,4466
250000000,http://www.thedarkknightrises.com/,49026,en,The Dark Knight Rises,112.31295,7/16/12,1084939099,165,Released,The Dark Knight Rises,7.6,9106
260000000,http://movies.disney.com/john-carter,49529,en,John Carter,43.926995,3/7/12,284139100,132,Released,John Carter,6.1,2124
258000000,http://www.sonypictures.com/movies/spider-man3/,559,en,Spider-Man 3,115.699814,5/1/07,890871626,139,Released,Spider-Man 3,5.9,3576
260000000,http://disney.go.com/disneypictures/tangled/,38757,en,Tangled,48.681969,11/24/10,591794936,100,Released,Tangled,7.4,3330
280000000,http://marvel.com/movies/movie/193/avengers_age_of_ultron,99861,en,Avengers: Age of Ultron,134.279229,4/22/15,1405403694,141,Released,Avengers: Age of Ultron,7.3,6767
250000000,http://harrypotter.warnerbros.com/harrypotterandthehalf-bloodprince/dvd/index.html,767,en,Harry Potter and the Half-Blood Prince,98.885637,7/7/09,933959197,153,Released,Harry Potter and the Half-Blood Prince,7.4,5293
250000000,http://www.batmanvsupermandawnofjustice.com/,209112,en,Batman v Superman: Dawn of Justice,155.790452,3/23/16,873260194,151,Released,Batman v Superman: Dawn of Justice,5.7,7004
200000000,http://www.mgm.com/view/movie/234/Quantum-of-Solace/,10764,en,Quantum of Solace,107.928811,10/30/08,586090727,106,Released,Quantum of Solace,6.1,2965
200000000,http://disney.go.com/disneypictures/pirates/,58,en,Pirates of the Caribbean: Dead Man's Chest,145.847379,6/20/06,1065659812,151,Released,Pirates of the Caribbean: Dead Man's Chest,7,5246
255000000,http://disney.go.com/the-lone-ranger/,57201,en,The Lone Ranger,49.046956,7/3/13,89289910,149,Released,The Lone Ranger,5.9,2311
225000000,http://www.manofsteel.com/,49521,en,Man of Steel,99.398009,6/12/13,662845518,143,Released,Man of Steel,6.5,6359
220000000,http://marvel.com/avengers_movie/,24428,en,The Avengers,144.448633,4/25/12,1519557910,143,Released,The Avengers,7.4,11776
380000000,http://disney.go.com/pirates/index-on-stranger-tides.html#/video/,1865,en,Pirates of the Caribbean: On Stranger Tides,135.413856,5/14/11,1045713802,136,Released,Pirates of the Caribbean: On Stranger Tides,6.4,4948
225000000,http://www.sonypictures.com/movies/meninblack3/,41154,en,Men in Black 3,52.035179,5/23/12,624026776,106,Released,Men in Black 3,6.2,4160
250000000,http://www.thehobbit.com/,122917,en,The Hobbit: The Battle of the Five Armies,120.965743,12/10/14,956019788,144,Released,The Hobbit: The Battle of the Five Armies,7.1,4760
215000000,http://www.theamazingspiderman.com,1930,en,The Amazing Spider-Man,89.866276,6/27/12,752215857,136,Released,The Amazing Spider-Man,6.5,6586
200000000,http://www.robinhoodthemovie.com/,20662,en,Robin Hood,37.668301,5/12/10,310669540,140,Released,Robin Hood,6.2,1398
250000000,http://www.thehobbit.com/,57158,en,The Hobbit: The Desolation of Smaug,94.370564,12/11/13,958400000,161,Released,The Hobbit: The Desolation of Smaug,7.6,4524
180000000,http://www.goldencompassmovie.com/index_german.html,2268,en,The Golden Compass,42.990906,12/4/07,372234864,113,Released,The Golden Compass,5.8,1303
200000000,http://www.titanicmovie.com,597,en,Titanic,100.025899,11/18/97,1845034188,194,Released,Titanic,7.5,7562
250000000,http://marvel.com/captainamericapremiere,271110,en,Captain America: Civil War,198.372395,4/27/16,1153304495,147,Released,Captain America: Civil War,7.1,7241
150000000,http://www.jurassicworld.com/,135397,en,Jurassic World,418.708552,6/9/15,1513528810,124,Released,Jurassic World,6.5,8662
200000000,http://www.skyfall-movie.com,37724,en,Skyfall,93.004993,10/25/12,1108561013,143,Released,Skyfall,6.9,7604
200000000,http://www.sonypictures.com/movies/spider-man2/,558,en,Spider-Man 2,35.149586,6/25/04,783766341,127,Released,Spider-Man 2,6.7,4321
200000000,http://marvel.com/ironman3,68721,en,Iron Man 3,77.68208,4/18/13,1215439994,130,Released,Iron Man 3,6.8,8806
200000000,http://disney.go.com/wonderland/,12155,en,Alice in Wonderland,78.530105,3/3/10,1025491110,108,Released,Alice in Wonderland,6.4,4645
150000000,http://www.transformersmovie.com/,8373,en,Transformers: Revenge of the Fallen,21.939663,6/19/09,836297228,150,Released,Transformers: Revenge of the Fallen,6,3138
210000000,http://www.transformersmovie.com,91314,en,Transformers: Age of Extinction,116.840296,6/25/14,1091405097,165,Released,Transformers: Age of Extinction,5.8,3095
200000000,http://www.ozthegreatandpowerfulmovie.com,68728,en,Oz: The Great and Powerful,46.985445,3/7/13,491868548,130,Released,Oz: The Great and Powerful,5.7,3530
200000000,http://www.theamazingspiderman.com,102382,en,The Amazing Spider-Man 2,89.270217,4/16/14,705717432,142,Released,The Amazing Spider-Man 2,6.5,4179
170000000,http://disney.go.com/tron/,20526,en,TRON: Legacy,73.79505,12/10/10,400062763,125,Released,TRON: Legacy,6.3,2841
200000000,http://www.disney.go.com/cars/,49013,en,Cars 2,49.98659,6/11/11,559852396,106,Released,Cars 2,5.8,2033
200000000,http://greenlanternmovie.warnerbros.com/,44912,en,Green Lantern,51.872839,6/16/11,219851172,114,Released,Green Lantern,5.1,2487
200000000,http://disney.go.com/toystory/,10193,en,Toy Story 3,59.995418,6/16/10,1066969703,103,Released,Toy Story 3,7.6,4597
200000000,https://www.warnerbros.com/terminator-salvation,534,en,Terminator Salvation,71.862892,5/20/09,371353001,115,Released,Terminator Salvation,5.9,2463
190000000,http://www.furious7.com/,168259,en,Furious 7,102.322217,4/1/15,1506249360,137,Released,Furious 7,7.3,4176
200000000,http://www.worldwarzmovie.com,72190,en,World War Z,81.834855,6/20/13,531865000,116,Released,World War Z,6.7,5560
